"","Site_ID","ENV_Contrast","ENV_Correlation","ENV_Cv","ENV_Dissimilarity","ENV_Entropy","ENV_Evenness","ENV_Homogeneity","ENV_Maximum","ENV_Range","ENV_Shannon","ENV_Simpson","ENV_Std","ENV_Uniformity","ENV_Variance","ENV_class_1","ENV_class_2","ENV_class_3","ENV_class_4","ENV_class_5","ENV_class_6","ENV_class_7","ENV_class_8","ENV_class_9","ENV_class_10","ENV_class_11","ENV_class_12","COUNT","ELE","ELEMAX","ELEMIN","ELERA","ELESD","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","TMAX1","TMAX2","TMAX3","TMAX4","TMAX5","TMAX6","TMAX7","TMAX8","TMAX9","TMAX10","TMAX11","TMAX12","TMIN1","TMIN2","TMIN3","TMIN4","TMIN5","TMIN6","TMIN7","TMIN8","TMIN9","TMIN10","TMIN11","TMIN12","TRA1","TRA2","TRA3","TRA4","TRA5","TRA6","TRA7","TRA8","TRA9","TRA10","TRA11","TRA12","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","FO","BU","MD","OC","FF","GS","BD","BL","WL","WB","ML","DTR","POP","LROAD","AROAD"
"1","MCE0250",438477,1106,898,50750,28538,9633,2048,972,1497,23641,8958,520,616,243219,0,0,0,0,44.2578455821055,0,24.59106584894,5.13999034667225,0,26.7199846400636,0,0,10000,211,343,140,203,51.8,2275,840,42,416,2824,842,1982,2754,1794,2759,1753,2549,473,48,74,1308,197,1089,269,1667,1803,1912,2187,2477,2657,2824,2795,2643,2413,2130,1789,1532,1710,1810,2179,2458,2593,2824,2798,2621,2354,2008,1687,842,912,1055,1342,1614,1757,1805,1793,1715,1502,1225,933,690,798,755,837,844,836,1019,1005,906,852,783,754,159,281,217,264,458,787,1266,1577,1516,1015,385,456,67.6,0,0,0,0,0,0,13.7,0,18.7,0,0,0.7,579,4634
"2","MCE0500",321476,188,634,42601,29129,9141,2295,996,1601,20678,8431,378,579,158540,0,0,0,0,85.0666647999635,0,0,3.49999440000806,0,11.4333408000285,0,0,10000,671,799,614,185,44.6,1865,951,45,465,2671,570,2101,2379,1324,2395,1265,1911,329,60,60,896,237,722,254,1177,1304,1492,1832,2149,2318,2461,2405,2272,1988,1670,1314,1382,1571,1701,2049,2343,2433,2671,2645,2475,2201,1867,1534,570,661,830,1123,1388,1512,1542,1528,1458,1245,956,649,812,910,871,926,955,921,1129,1117,1017,956,911,885,200,320,271,231,425,520,855,1033,1098,646,357,328,62.4,0,0,0,14.9,0,0,11.3,0,11.5,0,0,0.8,1313,6097
"3","MCE0750",412179,1274,856,52232,28475,9484,1725,983,1620,21708,8708,503,634,238888,0,0,0,0,78.6000447999739,0,8.25324962670979,8.70005559997027,0,4.44664997334608,0,0,10000,779,1040,676,364,81.6,1804,951,45,469,2671,570,2101,2321,1258,2336,1200,1857,322,62,58,858,242,689,256,1112,1235,1426,1772,2092,2259,2402,2347,2215,1926,1606,1254,1382,1571,1701,2049,2343,2433,2671,2645,2475,2201,1867,1534,570,661,830,1123,1388,1512,1542,1528,1458,1245,956,649,812,910,871,926,955,921,1129,1117,1017,956,911,885,207,324,275,224,422,509,812,976,1073,603,357,323,82.4,0,0,0,0,0,0,8.4,0,9.3,0,0,0.8,985,6624
"4","MCE1000",147495,2944,547,29689,26836,9526,3016,1392,1121,19809,8494,336,778,105443,0,0,0,0,77.9266204532209,0,16.4600519200981,5.27335367998783,0,0.639973546693154,0,0,10000,1002,1160,865,295,65.8,1580,986,47,478,2579,464,2115,2102,1014,2118,962,2136,335,74,55,944,273,792,287,866,986,1191,1554,1890,2047,2179,2127,1999,1707,1382,1033,1349,1511,1683,1980,2264,2350,2579,2546,2388,2136,1819,1493,464,572,757,1041,1284,1412,1439,1432,1358,1124,851,538,885,939,926,939,980,938,1140,1114,1030,1012,968,955,247,348,316,349,468,590,933,1117,1098,833,364,361,94.8,0,0,0,0.1,0,0,0,0,5.1,0,0,0.2,292,2298
"5","MCE1250",147995,542,454,30435,26403,9321,2958,1556,1045,20169,8418,284,845,80042,0,0,0,0,52.7466364266723,0,47.2533635733278,0,0,0,0,0,10000,1276,1433,1184,249,69.3,1542,986,47,483,2579,464,2115,2066,1050,2082,915,2204,369,75,57,986,276,832,294,816,941,1148,1517,1858,2014,2143,2090,1964,1674,1344,989,1349,1511,1683,1980,2264,2350,2579,2546,2388,2136,1819,1493,464,572,757,1041,1284,1412,1439,1432,1358,1124,851,538,885,939,926,939,980,938,1140,1114,1030,1012,968,955,249,392,343,369,474,594,948,1231,1107,866,332,339,83.3,0,4.7,0,5.2,0,0,0,0,6.8,0,0,0.4,969,6956
"6","MCE1500",35633,1620,278,13613,23849,8878,5079,1936,655,16329,7683,171,1087,21231,0,0,0,0,51.7066631466624,0,47.9733330133329,0,0,0.346670826671727,0,0,10000,1399,1681,1199,482,106.1,1453,988,48,478,2464,386,2078,1967,965,1984,830,2214,363,76,55,981,283,833,296,729,858,1071,1434,1773,1920,2042,1990,1868,1589,1262,903,1295,1438,1620,1886,2149,2235,2464,2418,2276,2064,1755,1436,386,501,687,959,1179,1315,1340,1334,1257,1018,763,447,909,937,933,927,970,920,1124,1084,1019,1046,992,989,253,390,344,376,486,613,952,1210,1109,854,345,344,97.5,0,0,0,0.5,0,0,0,0,2,0,10,0.3,1654,13636
"7","MCE1750",36919,627,257,14761,23912,9095,4604,1978,571,16176,7776,163,1099,20730,0,0,0,0,55.593310186676,0,44.4066898133241,0,0,0,0,0,10000,1933,2028,1758,270,68.9,1340,992,50,426,2197,205,1992,1777,890,1798,763,2361,366,84,51,1012,305,888,317,665,808,1035,1354,1643,1755,1848,1790,1693,1482,1189,817,1170,1269,1472,1665,1880,1968,2197,2120,2014,1896,1604,1303,205,334,525,769,933,1088,1110,1106,1022,772,558,235,965,935,947,896,947,880,1087,1014,992,1124,1046,1068,281,432,388,439,567,726,1016,1219,1139,821,389,345,100,0,0,0,0,0,0,0,0,0,0,44,0.6,62,431
"8","MCE2000",48015,1944,318,14014,23059,8745,5341,1743,851,14075,7266,193,1145,27578,0,0,0,0,52,0,48,0,0,0,0,0,10000,1993,2114,1904,210,51.9,1381,992,50,395,2197,205,1992,1779,955,1798,837,2788,440,113,44,1114,390,1018,415,747,895,1116,1408,1657,1764,1850,1781,1705,1527,1249,868,1170,1269,1472,1665,1880,1968,2197,2120,2014,1896,1604,1303,205,334,525,769,933,1088,1110,1106,1022,772,558,235,965,935,947,896,947,880,1087,1014,992,1124,1046,1068,375,594,503,604,695,890,1034,1468,1210,866,512,414,98.2,0,0,0,0,0,0,0,0,1.8,0,0,0.3,781,6449
"9","MCE2250",117849,4552,685,26496,27993,9586,3366,913,1127,19491,8473,362,655,108151,0,0,0,0,47.7066617599886,0,44.2666623999901,4.10667136001089,3.9200044800104,0,0,0,10000,2474,2681,2263,418,90.1,1000,940,49,344,1958,34,1924,1365,631,1381,532,2773,426,111,43,1093,380,1016,408,459,581,780,998,1197,1335,1431,1378,1285,1125,878,556,940,1022,1225,1418,1612,1742,1958,1878,1782,1657,1382,1091,34,136,323,555,713,895,943,935,830,614,390,62,906,886,902,863,899,847,1015,943,952,1043,992,1029,369,591,514,620,718,928,1038,1419,1186,835,497,401,90.7,0,7.5,0,0,0,0,1.8,0,0,0,688,0.4,603,4705
"10","MCE2500",41796,-66,300,14818,20567,8795,4975,3010,587,13125,6823,154,1741,20688,0,0,0,0,49.7233347066656,0,45.5600041600074,3.2999987999999,0.0233335066655007,1.36999531999607,0,0,10000,2441,2581,2262,319,74.5,1067,940,49,349,1958,34,1924,1449,689,1449,590,2936,408,113,37,1031,389,1031,464,514,647,846,1071,1278,1407,1496,1444,1358,1196,945,609,940,1022,1225,1418,1612,1742,1958,1878,1782,1657,1382,1091,34,136,323,555,713,895,943,935,830,614,390,62,906,886,902,863,899,847,1015,943,952,1043,992,1029,431,741,744,923,998,1360,1003,1072,910,604,489,375,100,0,0,0,0,0,0,0,0,0,0,1115,0.5,662,5128
"11","MCE2750",160022,1559,649,31433,26771,9648,2979,1245,1241,19996,8560,302,766,94736,0.666678933319268,0,0,0,50.8777537955836,0,44.7111172622047,0.855561297772768,0,3.1333309866788,0,0,10000,2691,2841,2546,295,72.5,965,982,50,342,2133,163,1970,1133,602,1345,503,3011,466,97,45,1148,327,1022,455,429,550,739,952,1152,1294,1395,1346,1251,1097,847,530,1121,1216,1420,1606,1813,1905,2133,2053,1951,1841,1554,1256,163,290,479,717,879,1039,1065,1057,968,727,515,188,958,926,941,889,934,866,1068,996,983,1114,1039,1068,324,844,1009,1184,1088,1554,878,974,791,488,418,347,92.7,0,0,0,7.3,0,0,0,0,0,0,0,0.2,1483,10417
"12","MCE3000",45452,455,363,16361,26435,9094,4433,1399,641,16294,7809,158,822,24196,8.16666546667204,0,0,0,41.3666805600178,0,34.0000130666508,3.66666293332513,0,12.7999779733343,0,0,10000,3030,3125,2916,209,48.6,767,935,49,359,2018,96,1922,926,399,1160,285,3085,473,104,44,1153,338,1087,457,200,322,500,734,950,1094,1210,1176,1079,940,662,334,1003,1088,1287,1477,1676,1799,2018,1942,1843,1724,1445,1152,96,207,390,626,786,961,1009,997,895,682,456,127,907,881,897,851,890,838,1009,945,948,1042,989,1025,357,820,924,1134,1135,1575,987,1060,871,512,425,345,20.8,79.2,0,0,0,0,0,0,0,0,0,71,0.1,128,770
"13","MCE3250",69270,3543,560,20719,27558,9348,3630,891,979,18916,8327,254,677,51385,23.9999904000094,0,0,0,41.1000053466559,0,22.4333321066696,6.00000272000373,2.59999897333142,4.43333822666199,0,0,10000,3122,3178,3070,108,28.4,801,935,49,356,2018,96,1922,1116,436,1191,323,3540,597,95,53,1442,332,1371,434,237,359,536,768,982,1125,1242,1205,1108,971,699,373,1003,1088,1287,1477,1676,1799,2018,1942,1843,1724,1445,1152,96,207,390,626,786,961,1009,997,895,682,456,127,907,881,897,851,890,838,1009,945,948,1042,989,1025,368,759,860,1216,1506,1989,1313,1267,1082,536,422,318,19.8,65,0,0,0,0,0,15.2,0,0,0,0,0.1,544,4895
